time,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1620022010,-5.5097656,-2.2207031,5.2089843,3.4179687,16.1132812,-30.9448242,-0.1751953,0.0063477,0.0603027
1620022010,-5.5332031,-2.2109375,5.2050781,-15.3808593,22.277832,-27.8930664,-0.1751953,0.0063477,0.0603027
1620022010,-5.5917969,-2.0976562,5.2519531,-28.5644531,27.2827148,-22.1557617,-0.1751953,0.0063477,0.0603027
1620022011,-5.5175781,-2.1074218,5.2207031,-43.0297851,37.8417969,-6.1035156,-0.1751953,0.0063477,0.0603027
1620022011,-5.5625,-2.1523437,5.3066406,-57.6171875,41.5039062,12.4511719,-0.1751953,0.0063477,0.0603027
1620022011,-5.5820312,-2.1582031,5.2636718,-62.5610351,40.9545898,28.2592773,-0.1751953,0.0063477,0.0603027
1620022010,-5.5742187,-2.1484375,5.2695312,-77.9418945,30.3955078,39.855957,-0.1751953,0.0063477,0.0603027
1620022010,-5.5585937,-2.2167968,5.3320312,-80.4443359,31.25,42.2363281,-0.1751953,0.0063477,0.0603027
1620022010,-5.4824219,-2.2207031,5.3789062,-74.21875,37.8417969,44.1284179,-0.1751953,0.0063477,0.0603027
1620022010,-5.4589844,-2.2207031,5.4023437,-69.2749023,39.2456054,43.2128906,-0.1751953,0.0063477,0.0603027
1620022010,-5.4570312,-2.234375,5.3730468,-55.2368164,36.3159179,32.7148437,-0.1751953,0.0063477,0.0603027
1620022010,-5.484375,-2.2324218,5.4277344,-45.4711914,28.2592773,26.0620117,-0.1751953,0.0063477,0.0603027
1620022010,-5.4882812,-2.2070312,5.4609375,-29.0527343,21.5454101,17.4560547,-0.1751953,0.0063477,0.0603027
1620022010,-5.4160156,-2.1445312,5.4394531,-19.4091797,14.5263672,15.4418945,-0.1751953,0.0063477,0.0603027
1620022010,-5.4316406,-2.2402343,5.4785156,-2.1972656,10.1318359,9.6435547,-0.1751953,0.0063477,0.0603027
1620022010,-5.4433594,-2.2207031,5.4296875,14.8315429,-1.6479492,-2.9907227,-0.1751953,0.0063477,0.0603027
1620022010,-5.4296875,-2.1894531,5.4121093,26.3061523,-1.7089844,-7.9956055,-0.1751953,0.0063477,0.0603027
1620022010,-5.4355469,-2.2070312,5.4238281,33.8745117,-0.4272461,-16.6015625,-0.1751953,0.0063477,0.0603027
1620022010,-5.4570312,-2.2636718,5.328125,43.0297851,-9.1552734,-24.4140625,-0.1751953,0.0063477,0.0603027
1620022010,-5.453125,-2.1542968,5.3183593,46.1425781,-7.5073242,-31.0668945,-0.1751953,0.0063477,0.0603027
1620022010,-5.4824219,-2.2285156,5.2753906,43.3349609,-2.6855469,-31.25,-0.1751953,0.0063477,0.0603027
1620022010,-5.546875,-2.1464843,5.3164062,37.9638672,-1.3427734,-32.5927734,-0.1751953,0.0063477,0.0603027
1620022010,-5.5097656,-2.1113281,5.2382812,25.7568359,-5.859375,-28.6865234,-0.1751953,0.0063477,0.0603027
1620022010,-5.5722656,-2.1035156,5.2929687,22.3388672,4.2724609,-20.3857422,-0.1751953,0.0063477,0.0603027
1620022010,-5.5566406,-2.1386718,5.2304687,6.5917969,5.6762695,-13.671875,-0.1751953,0.0063477,0.0603027
1620022010,-5.5917969,-2.1738281,5.21875,-0.1220703,19.8974609,-6.9580078,-0.1751953,0.0063477,0.0603027
1620022010,-5.5429687,-2.1640625,5.2226562,-23.8037109,16.3574218,-0.4882813,-0.1751953,0.0063477,0.0603027
1620022010,-5.5273437,-2.2011718,5.1953125,-30.8227539,22.4609375,1.953125,-0.1751953,0.0063477,0.0603027
1620022010,-5.5351562,-2.1464843,5.1796875,-48.4008789,26.184082,10.4370117,-0.1751953,0.0063477,0.0603027
1620022010,-5.5390625,-2.1347656,5.2363281,-51.0253906,43.6401367,12.512207,-0.1751953,0.0063477,0.0603027
1620022010,-5.5488281,-2.21875,5.1816406,-66.040039,36.5600586,23.4375,-0.1751953,0.0063477,0.0603027
1620022010,-5.4863281,-2.1582031,5.3242187,-61.9506836,33.996582,22.8271484,-0.1751953,0.0063477,0.0603027
1620022011,-5.5019531,-2.2011718,5.2851562,-66.5283203,36.6210937,38.7573242,-0.1751953,0.0063477,0.0603027
1620022011,-5.46875,-2.2226562,5.3378906,-70.0683593,38.1469726,41.809082,-0.1751953,0.0063477,0.0603027
1620022011,-5.515625,-2.2578125,5.4804687,-55.847168,31.1279296,34.9121094,-0.1751953,0.0063477,0.0603027
1620022011,-5.4863281,-2.1640625,5.3769531,0.9765626,17.3339843,-3.1738281,-0.1751953,0.0063477,0.0603027
1620022011,-5.4960937,-2.1171875,5.4277344,-2.9907227,9.3383789,2.5634765,-0.1751953,0.0063477,0.0603027
1620022011,-5.5058594,-2.1953125,5.3125,15.3808593,7.6293945,-8.9111328,-0.1751953,0.0063477,0.0603027
1620022011,-5.5117187,-2.2558593,5.3203125,6.0424804,-9.2773437,-9.9487305,-0.1751953,0.0063477,0.0603027
1620022011,-5.4726562,-2.2226562,5.296875,28.3813476,3.2958984,-25.3295898,-0.1751953,0.0063477,0.0603027
1620022011,-5.4980469,-2.2402343,5.3066406,18.4936523,0.4272461,-30.8837891,-0.1751953,0.0063477,0.0603027
1620022011,-5.5078125,-2.2578125,5.2695312,31.6162109,8.2397461,-40.1000976,-0.1751953,0.0063477,0.0603027
1620022011,-5.5429687,-2.2050781,5.3535156,27.8320312,0.7934571,-37.4145507,-0.1751953,0.0063477,0.0603027
1620022011,-5.5214844,-2.1523437,5.3417968,30.1513671,0.7934571,-35.3393554,-0.1751953,0.0063477,0.0603027
1620022011,-5.5292969,-2.1738281,5.1757812,23.1323242,-4.699707,-24.7802734,-0.1751953,0.0063477,0.0603027
1620022011,-5.53125,-2.2050781,5.2773437,24.5971679,-1.0375976,-19.7143554,-0.1751953,0.0063477,0.0603027
1620022011,-5.5214844,-2.1855468,5.2753906,18.1274414,2.8076172,-9.0332031,-0.1751953,0.0063477,0.0603027
1620022011,-5.5214844,-2.265625,5.2050781,10.9863281,3.0517578,-6.652832,-0.1751953,0.0063477,0.0603027
1620022011,-5.5625,-2.2636718,5.1699218,1.8310547,5.3710937,-5.0048828,-0.1751953,0.0063477,0.0603027
1620022011,-5.5351562,-2.2265625,5.21875,-8.7890625,11.4135742,-0.8544922,-0.1751953,0.0063477,0.0603027
1620022011,-5.5058594,-2.2207031,5.1679687,-14.2822265,21.3623047,1.8310547,-0.1751953,0.0063477,0.0603027
1620022011,-5.5195312,-2.2011718,5.2929687,-25.3295898,21.3012695,8.7280273,-0.1751953,0.0063477,0.0603027
1620022011,-5.5664062,-2.140625,5.3046875,-25.8178711,20.9960938,13.9160156,-0.1751953,0.0063477,0.0603027
1620022011,-5.5390625,-2.1757812,5.2988281,-28.3203125,18.7377929,18.1274414,-0.1751953,0.0063477,0.0603027
